nodeId,nodeTypeCd,nodeTypeNm,turnPCd,turnPNm,grs80tmX,grs80tmY,x,y,nodeName
1010027600,101,도로교차점,1,유,,451834.508535,126.9826719,37.5660456,을지로1가
1010027700,101,도로교차점,0,무,,451846.130901,126.9981055,37.5661516,을지로4가_배오개길_진입_2
1010027800,101,도로교차점,1,유,,451839.478081,126.9844183,37.5660906,하나은행
1010027900,101,도로교차점,0,무,,451839.594423,126.9818911,37.5660913,을지로1가_을지로_진입_2
1010028000,101,도로교차점,1,유,,451841.859336,126.985748,37.5661122,을지로2가(외환은행)
1010028100,101,도로교차점,0,무,,451849.001817,127.0072415,37.5661772,동대문운동장_을지로_진입_2
1010028200,101,도로교차점,0,무,,451842.896471,126.9835099,37.5661213,을지로1가_을지로_진출_1
1010028300,101,도로교차점,1,유,,451846.357261,126.9875388,37.5661529,을지로2가
1010028400,101,도로교차점,0,무,,451859.173841,126.9671908,37.5662645,서대문아트홀_일반국도6호선_진
1010028500,101,도로교차점,1,유,,451853.220567,127.0067592,37.5662152,타임캐슬 오피스텔
1010028600,101,도로교차점,1,유,,451854.982475,126.989751,37.5662309,을지로3가역
1010028700,101,도로교차점,0,무,,451866.733153,126.9670853,37.5663326,서대문아트홀_일반국도6호선_진
1010028800,101,도로교차점,0,무,,451899.138532,127.0080566,37.5666289,동대문운동장_홍인문로_진출_2
1010028900,101,도로교차점,1,유,,451871.386674,126.992623,37.5663789,을지로3가
1010029000,101,도로교차점,1,유,,451882.577897,126.9673181,37.5664754,서울적십자병원
1010029100,101,도로교차점,0,무,,451888.637542,126.9955601,37.5665345,대림상가앞
1010029200,101,도로교차점,0,무,,451893.910321,126.9974814,37.566582,을지로4가_을지로_진출_2
1010029300,101,도로교차점,1,유,,451899.152325,127.0044568,37.5666292,을지전화국
1010029600,101,도로교차점,1,유,,451903.679576,126.9981208,37.5666701,을지로4가
1010029700,101,도로교차점,0,무,,451906.175828,126.9975221,37.5666925,을지로4가_을지로_진입
1010029800,101,도로교차점,1,유,,451921.09669,126.9875762,37.5668264,장교빌딩
1010029900,101,도로교차점,0,무,,451898.115965,126.9827605,37.5666187,을지로1가_남대문로_진입_1
1010030000,101,도로교차점,0,무,,451913.29919,126.9987679,37.5667567,을지로4가_을지로_진출_1
1010030100,101,도로교차점,1,유,,451916.578039,127.0004343,37.5667863,중부시장앞
1010030300,101,도로교차점,0,무,,451917.286683,126.9857506,37.5667918,기업은행
1010030400,101,도로교차점,0,무,,451898.445964,126.9826247,37.5666216,을지로1가_남대문로_진출_2
1010030600,101,도로교차점,1,유,,451921.878191,127.0161317,37.5668329,광희초교
1010030700,101,도로교차점,1,유,,451925.794377,127.002264,37.5668693,을지로5가
1010031200,101,도로교차점,0,무,,451946.613158,127.012593,37.5670562,디자이너클럽앞
1010031300,101,도로교차점,0,무,,451952.226935,126.998016,37.5671075,을지로4가_배오개길_진출
1010031400,101,도로교차점,1,유,,451955.974291,126.9981493,37.5671412,을지로4가_배오개길_진입_1
1010031500,104,도로시설물,0,무,,451998.862504,126.9683329,37.5675234,서대문고가차도(북측)
1010031700,101,도로교차점,1,유,,452024.882577,127.0089468,37.5677618,밀리오레
1010031800,101,도로교차점,1,유,,452039.535011,127.0125261,37.5678935,동대문디자인플라자
1010031900,101,도로교차점,1,유,,452047.530956,127.0077441,37.5679659,케레스타
1010032000,101,도로교차점,1,유,,452053.244079,127.0160061,37.5680166,흥인사거리
1010032100,101,도로교차점,1,유,,452049.15528,126.9876671,37.5679802,청계2가
1010032200,101,도로교차점,0,무,,452051.039117,126.989553,37.5679973,수표교(남단)
1010032400,101,도로교차점,1,유,,452056.63264,127.0072386,37.568048,동화상가
1010032500,101,도로교차점,0,무,,452070.745323,126.9858917,37.5681745,삼일교
1010032600,101,도로교차점,1,유,,452075.962917,126.9923856,37.5682221,청계3가
1010032700,101,도로교차점,1,유,,452082.387013,126.9876862,37.5682796,청계2가
1010032800,101,도로교차점,1,유,,452088.091538,126.9691612,37.5683276,정동사거리
1010032900,101,도로교차점,1,유,,452092.66345,127.0196396,37.5683712,동대문중앙교회앞
1010033000,101,도로교차점,1,유,,452097.112428,127.0021233,37.5684129,방산종합시장
1010033400,101,도로교차점,1,유,,452131.83465,126.9827649,37.5687245,광교
1010033500,101,도로교차점,1,유,,452132.721006,126.9979473,37.5687337,청계4가
1010033600,101,도로교차점,1,유,,452144.532691,127.0096498,37.5688398,청계6가앞
1010033700,101,도로교차점,1,유,,452166.561282,126.9827798,37.5690374,광교
1010033800,101,도로교차점,0,무,,452155.616109,126.9798296,37.5689383,효령빌딩
1010034000,101,도로교차점,1,유,,452165.793989,126.9979233,37.5690317,청계4가
1010034100,101,도로교차점,0,무,,452159.889139,126.9792933,37.5689767,무교동사거리
1010034200,103,속성변화점,0,무,,452172.832361,126.9761544,37.5690927,광화문빌딩
1010034300,101,도로교차점,0,무,,452192.665567,126.9792763,37.569272,모전교
1010034400,101,도로교차점,1,유,,452209.503684,126.9743376,37.5694227,덕수초교앞
1010034500,101,도로교차점,1,유,,452212.36119,126.9757733,37.5694488,삼원약국
1010034600,101,도로교차점,0,무,,452216.175166,127.0020515,37.5694856,청계5가
1010034700,101,도로교차점,1,유,,452232.122076,127.009742,37.5696289,청계6가
1010034800,101,도로교차점,1,유,,452235.806944,127.0158987,37.5696615,청계7가
1010034900,101,도로교차점,1,유,,452221.35219,127.0066319,37.5695321,버들다리(남측)
1010035000,101,도로교차점,0,무,,452251.893987,127.00202,37.5698075,청계5가
1010035100,101,도로교차점,0,무,,452266.888396,127.0096899,37.5699422,청계6가
1010035200,101,도로교차점,0,무,,452275.097648,127.0158718,37.5700155,청계7가
1010035300,101,도로교차점,0,무,,452377.203573,127.0190905,37.570935,영도교(북단)
1010035400,101,도로교차점,1,유,,452408.859742,127.0188537,37.5712202,영도교(남단)
1010035500,101,도로교차점,0,무,,452455.90969,127.022817,37.5716434,황학교_청계천로_진출
1010035600,101,도로교차점,0,무,,450605.481989,126.9690937,37.5549693,철도빌딩
1010035700,101,도로교차점,0,무,,451249.35398,126.9706666,37.560771,순화공원
1010035800,101,도로교차점,0,무,,451429.901351,126.9714584,37.5623979,중앙일보
1010035900,101,도로교차점,0,무,,450734.226177,126.9726383,37.5561302,통일로_한강대로_진입
1010036000,101,도로교차점,0,무,,450627.538806,126.9728469,37.555169,한강대로_퇴계로_진출
1010036100,103,속성변화점,1,유,,450799.206627,126.9744893,37.5567161,메트로타워
1010036200,101,도로교차점,0,무,,452164.664055,126.9769706,37.5690193,청계광장
1010036300,101,도로교차점,0,무,,451243.758711,126.9801491,37.5607225,메사
1020000100,104,도로시설물,0,무,,446303.770096,126.9832075,37.5162137,동작대교북단
1020000300,104,도로시설물,0,무,,446649.470469,126.99425,37.5193295,반포대교북단
1020000600,104,도로시설물,0,무,,447786.072541,127.0106545,37.52957,한남대교북단
1020000700,104,도로시설물,0,무,,447853.198755,126.9516861,37.5301654,원효대교북단
1120027400,101,도로교차점,0,무,,452541.384,126.9147585,37.572385,DMC파크뷰APT
1000015700,104,도로시설물,0,무,,452678.225517,126.9651932,37.5736436,사직터널(북측)
1000015800,101,도로교차점,1,유,,452742.811761,126.9699767,37.5742268,동아기획
1000015900,104,도로시설물,0,무,,452735.704597,126.9756211,37.5741641,중앙지하차도(서측)
1000016100,101,도로교차점,0,무,,452763.432986,126.9785108,37.5744145,역사박물관
1000016200,104,도로시설물,0,무,,452761.316315,126.978034,37.5743953,중앙지하차도(동측)
1000016300,101,도로교차점,0,무,,452768.84549,126.9672632,37.5744606,사직단
1000016400,101,도로교차점,1,유,,452768.40584,126.9909726,37.5744609,원광빌딩
1000016500,101,도로교차점,1,유,,452802.184379,126.9704072,37.5747619,인왕빌딩
1000016600,101,도로교차점,1,유,,452804.233582,126.9677985,37.5747796,사직단
1000016700,101,도로교차점,0,무,,452799.747216,126.9766029,37.5747413,광화문_일반국도48호선_진입_2
1000016900,101,도로교차점,0,무,,452812.711825,126.9771689,37.5748582,광화문_일반국도48호선_진출_1
1000017000,101,도로교차점,1,유,,452843.489448,126.9868136,37.575137,운현초교입구
1000017300,101,도로교차점,0,무,,452826.693271,126.9828039,37.5749851,안국동사거리_우정국로_진입
1000017400,101,도로교차점,0,무,,452854.116555,127.0225012,37.5752313,신설동역_일반국도6호선_진출_2
1000017700,101,도로교차점,0,무,,452864.886391,127.0224414,37.5753284,신설동역_일반국도6호선_진입_2
1000017800,101,도로교차점,1,유,,452890.124794,126.9688477,37.5755538,사직공원
1000017900,101,도로교차점,1,유,,452895.978036,126.9830055,37.5756094,안국동사거리
1000018000,101,도로교차점,1,유,,452862.001499,126.9726887,37.5753014,적선현대빌딩
1000018100,101,도로교차점,0,무,,452895.529794,126.9820371,37.5756052,안국동사거리_율곡로_진출_2
1000018200,101,도로교차점,0,무,,452870.460978,126.9792458,37.5753789,경복궁_중학천길_진출
1000018300,101,도로교차점,0,무,,452890.114117,126.9791986,37.575556,경복궁_중학천길_진입
1000018500,101,도로교차점,0,무,,452895.669571,126.975634,37.5756053,광화문_일반국도48호선_진출_2
1000018600,101,도로교차점,0,무,,452902.377878,126.9906139,37.5756679,도서출판집문당
1000018900,101,도로교차점,0,무,,452895.588859,126.9779452,37.5756051,광화문_일반국도48호선_진입_1
1000019000,101,도로교차점,0,무,,452914.569462,126.9655996,37.5757731,전교가르멜수녀원영성센터
1000019100,101,도로교차점,0,무,,452904.741672,126.9786481,37.5756877,경복궁_일반국도48호선_진출
1000019200,101,도로교차점,1,유,,452914.234322,126.9813071,37.5757736,한국일보문화센타
1000019300,101,도로교차점,1,유,,452912.646819,126.9743313,37.575758,정부서울청사
1000019400,101,도로교차점,0,무,,452926.222062,126.9801458,37.5758815,경복궁교차로
1000019600,101,도로교차점,1,유,,452929.580186,126.9973494,37.5759134,원남동사거리
1000019700,101,도로교차점,1,유,,452923.230174,126.9794201,37.5758544,경복궁교차로
1000019800,101,도로교차점,1,유,,452928.786435,126.972636,37.5759031,경복궁역
1000020100,101,도로교차점,0,무,,452916.022105,126.9689332,37.5757871,사직공원
1000020200,101,도로교차점,0,무,,452916.614879,126.9786284,37.5757946,경복궁_일반국도48호선_진입
1000020300,101,도로교차점,0,무,,452938.186464,126.9801205,37.5759893,경복궁_율곡로_진출
1000020500,101,도로교차점,0,무,,452954.827829,126.969969,37.5761371,일반국도48호선-매동길진출로
1000020600,101,도로교차점,0,무,,453000.92424,126.9794688,37.5765544,경복궁_삼청동길_진출
1000020700,101,도로교차점,1,유,,452957.89066,127.0022106,37.5761684,이화사거리
1000020800,101,도로교차점,0,무,,452971.774698,126.9690959,37.5762895,파크맨션아파트
1000020900,101,도로교차점,0,무,,452972.022185,126.9963188,37.5762957,원남동사거리_율곡로_진입
1000021000,101,도로교차점,0,무,,453000.739362,126.9796046,37.5765528,경복궁_삼청동길_진입
1000021100,101,도로교차점,0,무,,453015.84262,126.9971754,37.5766906,원남동사거리_창경궁로_진출
1000021200,101,도로교차점,1,유,,453034.61998,126.9861801,37.576859,안국역
1000021300,101,도로교차점,1,유,,453054.186067,126.9971968,37.5770361,원남빌딩
1000021400,101,도로교차점,1,유,,453098.649275,126.9901038,37.5774363,창덕궁
1000021500,101,도로교차점,1,유,,453094.415933,126.9892652,37.5773981,현대주택문화센터
1000021600,101,도로교차점,0,무,,453119.788753,126.9980116,37.5776271,서울대학교치과대학
1000021700,102,도로시.종점,0,무,,453172.585691,126.9666022,37.5780981,매동초등학교
1000021800,101,도로교차점,0,무,,453280.232408,126.9998519,37.5790727,서울대학교병원
1000021900,101,도로교차점,0,무,,453297.789642,126.9850218,37.57923,재동초등학교앞
1000022000,101,도로교차점,0,무,,453305.859449,126.9892467,37.5793032,계동창덕궁앞
1000022100,101,도로교차점,0,무,,453316.677402,126.9738284,37.5793982,합동청사
1000022200,101,도로교차점,0,무,,453320.853417,126.9687732,37.5794346,남전빌라
1000022300,101,도로교차점,0,무,,453323.234672,126.9696574,37.5794563,태창빌딩
1000022400,101,도로교차점,0,무,,453283.001296,127.0152347,37.5790967,창신쌍용아파트
1000022500,101,도로교차점,1,유,,453328.054508,126.9713901,37.5795002,옥인시장
1000022600,101,도로교차점,0,무,,453383.420114,127.0021793,37.5800024,함춘회관
1000022700,101,도로교차점,1,유,,453389.702548,126.9799387,37.5800574,국군서울지구병원
1000022800,101,도로교차점,0,무,,453444.837415,126.9685948,37.5805517,송림빌딩
1000022900,101,도로교차점,1,유,,453460.642035,127.0153875,37.5806972,종로센트레빌아파트
1000023000,101,도로교차점,1,유,,453496.06526,126.980211,37.5810157,국립민속박물관
1000023100,101,도로교차점,0,무,,453538.341352,126.9684974,37.5813941,퍼스트빌
1000023200,101,도로교차점,0,무,,453551.363288,126.9708981,37.581512,효자동사무소앞
1000023300,101,도로교차점,1,유,,453551.692143,127.0122582,37.5815179,쌍용아파트
1000023400,101,도로교차점,0,무,,453554.383071,126.9811174,37.5815413,안송빌딩
1000023500,105,행정경계,0,무,,453586.272092,127.0152482,37.5818292,종로구-성북구경계(1)
1000023600,101,도로교차점,0,무,,453583.907103,126.9736837,37.5818059,유니세프한국위원회
1000023700,101,도로교차점,0,무,,453636.243334,127.0146497,37.5822795,명신초교
1000023800,102,도로시.종점,0,무,,453648.196572,126.9630674,37.5823823,옥인시범아파트
1000023900,101,도로교차점,1,유,,453647.889323,127.001889,37.5823853,혜명교회앞
1000024000,101,도로교차점,1,유,,453717.963478,126.9987504,37.5830167,성균관대입구
1000024100,101,도로교차점,0,무,,453751.286382,126.9851048,37.583316,대한불교조계종안국선원
1000024200,101,도로교차점,1,유,,453768.322055,126.9792608,37.5834686,팔판동삼거리
1000024300,101,도로교차점,0,무,,453799.655399,126.9727055,37.5837496,무궁화동산
1000024400,101,도로교차점,1,유,,453812.242976,126.970364,37.5838624,신교동교차로
1000024500,101,도로교차점,1,유,,453860.926407,126.9702829,37.584301,신교소방파출소
1000024600,101,도로교차점,0,무,,453896.175592,126.9727746,37.5846192,주한교황청대사관
1000024700,101,도로교차점,0,무,,453951.575043,126.9711881,37.585118,궁정교회
1000024900,101,도로교차점,1,유,,453967.903274,127.0013176,37.5852686,혜화동_대학로_진입
1000025000,101,도로교차점,1,유,,453971.829395,127.0009786,37.585304,혜화동로터리
